menu_id, name, inventory_id, type, description
000,The Original Orange Chicken,0,entree,Our signature dish. Crispy chicken wok-tossed in a sweet and spicy orange sauce.
000,The Original Orange Chicken,16,entree,Our signature dish. Crispy chicken wok-tossed in a sweet and spicy orange sauce.
001,Black Pepper Angus Steak,2,premium entree,Angus steak wok-seared with green beans, onions, red bell peppers and mushrooms in a savory black pepper sauce.
001,Black Pepper Angus Steak,17,premium entree,Angus steak wok-seared with green beans, onions, red bell peppers and mushrooms in a savory black pepper sauce.
001,Black Pepper Angus Steak,12,premium entree,Angus steak wok-seared with green beans, onions, red bell peppers and mushrooms in a savory black pepper sauce.
001,Black Pepper Angus Steak,5,premium entree,Angus steak wok-seared with green beans, onions, red bell peppers and mushrooms in a savory black pepper sauce.
001,Black Pepper Angus Steak, add sauce number here ,premium entree,Angus steak wok-seared with green beans, onions, red bell peppers and mushrooms in a savory black pepper sauce.
002,Grilled Teriyaki Chicken,8,entree,Grilled chicken hand-sliced to order and served with teriyaki sauce.
002,Grilled Teriyaki Chicken,9,entree,Grilled chicken hand-sliced to order and served with teriyaki sauce.
003,Broccoli Beef,10,entree,A classic favorite. Tender beef and fresh broccoli in a ginger soy sauce.
003,Broccoli Beef,3,entree,A classic favorite. Tender beef and fresh broccoli in a ginger soy sauce.
003,Broccoli Beef,19,entree,A classic favorite. Tender beef and fresh broccoli in a ginger soy sauce.
004,Honey Walnut Shrimp,6,premium entree,Large tempura-battered shrimp wok-tossed in a honey sauce and topped with glazed walnuts.
004,Honey Walnut Shrimp,7,premium entree,Large tempura-battered shrimp wok-tossed in a honey sauce and topped with glazed walnuts.
004,Honey Walnut Shrimp,15,premium entree,Large tempura-battered shrimp wok-tossed in a honey sauce and topped with glazed walnuts.
005,Kung Pao Chicken,8,entree,A Szechwan-inspired dish with chicken peanuts and vegetables finished with chili peppers.
005,Kung Pao Chicken,11,entree,A Szechwan-inspired dish with chicken peanuts and vegetables finished with chili peppers.
005,Kung Pao Chicken,13,entree,A Szechwan-inspired dish with chicken peanuts and vegetables finished with chili peppers.
006,Beijing Beef,10,entree,Crispy beef bell peppers and onions in a sweet-tangy sauce.
006,Beijing Beef,5,entree,Crispy beef bell peppers and onions in a sweet-tangy sauce.
006,Beijing Beef,4,entree,Crispy beef bell peppers and onions in a sweet-tangy sauce.
006,Beijing Beef,16,entree,Crispy beef bell peppers and onions in a sweet-tangy sauce.
007,Mushroom Chicken,8,entree,A delicate combination of chicken mushrooms and zucchini wok-tossed with a light ginger soy sauce.
007,Mushroom Chicken,18,entree,A delicate combination of chicken mushrooms and zucchini wok-tossed with a light ginger soy sauce.
007,Mushroom Chicken,17,entree,A delicate combination of chicken mushrooms and zucchini wok-tossed with a light ginger soy sauce.
007,Mushroom Chicken,19,entree,A delicate combination of chicken mushrooms and zucchini wok-tossed with a light ginger soy sauce.
008,SweetFire Chicken Breast,8,entree,Crispy white-meat chicken red bell peppers onions and pineapples in a bright and sweet chili sauce.
008,SweetFire Chicken Breast,5,entree,Crispy white-meat chicken red bell peppers onions and pineapples in a bright and sweet chili sauce.
008,SweetFire Chicken Breast,21,entree,Crispy white-meat chicken red bell peppers onions and pineapples in a bright and sweet chili sauce.
008,SweetFire Chicken Breast,20,entree,Crispy white-meat chicken red bell peppers onions and pineapples in a bright and sweet chili sauce.
009,String Bean Chicken Breast,8,entree,string beans and onions wok-tossed in a mild ginger soy sauce
009,String Bean Chicken Breast,4,entree,string beans and onions wok-tossed in a mild ginger soy sauce
009,String Bean Chicken Breast,19,entree,string beans and onions wok-tossed in a mild ginger soy sauce
010,Black Pepper Chicken,8,entree,Marinated chicken celery and onions in a bold black pepper sauce.
010,Black Pepper Chicken,23,entree,Marinated chicken celery and onions in a bold black pepper sauce.
010,Black Pepper Chicken,4,entree,Marinated chicken celery and onions in a bold black pepper sauce.
010,Black Pepper Chicken, put sauce here ,entree,Marinated chicken celery and onions in a bold black pepper sauce.
011,Chow Mein,24,side,Stir-fried wheat noodles with onions celery and cabbage.
011,Chow Mein,4,side,Stir-fried wheat noodles with onions celery and cabbage.
011,Chow Mein,25,side,Stir-fried wheat noodles with onions celery and cabbage.
012,Fried Rice,26,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.
012,Fried Rice,28,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.
012,Fried Rice,19,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.
012,Fried Rice,29,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.
012,Fried Rice,30,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.
012,Fried Rice,4,side,Prepared steamed white rice with soy sauce eggs peas carrots and green onions.
013,White Steamed Rice,26,side, The normal steamed white rice.
014,Super Greens,3,side,A light and zesty blend of broccoli kale and cabbage 
014,Super Greens,24,side,A light and zesty blend of broccoli kale and cabbage 
014,Super Greens, put kale here ,side,A light and zesty blend of broccoli kale and cabbage 
015,Chicken Potsicker,8,side,Pan-seared dumplings filled with chicken cabbage and onion.
015,Chicken Potsicker,24,side,Pan-seared dumplings filled with chicken cabbage and onion.
015,Chicken Potsicker,4,side,Pan-seared dumplings filled with chicken cabbage and onion.
016,Brown Steamed Rice,32,side,Whole grain rice.
017,Chicken Egg Roll,4,appetizer,Cabbage carrots mushrooms green onions and chicken in a crispy wonton wrapper.
017,Chicken Egg Roll,24,appetizer,Cabbage carrots mushrooms green onions and chicken in a crispy wonton wrapper.
017,Chicken Egg Roll,30,appetizer,Cabbage carrots mushrooms green onions and chicken in a crispy wonton wrapper.
017,Chicken Egg Roll,17,appetizer,Cabbage carrots mushrooms green onions and chicken in a crispy wonton wrapper.
017,Chicken Egg Roll,8,appetizer,Cabbage carrots mushrooms green onions and chicken in a crispy wonton wrapper.
018,Veggie Spring Roll,24,appetizer,Cabbage celery carrots green onions and Chinese noodles in a crispy wonton wrapper.
018,Veggie Spring Roll,23,appetizer,Cabbage celery carrots green onions and Chinese noodles in a crispy wonton wrapper.
018,Veggie Spring Roll,30,appetizer,Cabbage celery carrots green onions and Chinese noodles in a crispy wonton wrapper.
018,Veggie Spring Roll,4,appetizer,Cabbage celery carrots green onions and Chinese noodles in a crispy wonton wrapper.
018,Veggie Spring Roll,25,appetizer,Cabbage celery carrots green onions and Chinese noodles in a crispy wonton wrapper.
019,Crispy Shrimp,6,appetizer,Crisp-golden butterflied shrimp.
020,Fortune Cookies,,appetizer,A small and hard golden cookies with a fortune in each one.
021,Cream Cheese Rangoon,16,appetizer,Wonton wrappers filled with cream cheese and served with sweet and sour sauce.
021,Cream Cheese Rangoon, wonton wrappers ,appetizer,Wonton wrappers filled with cream cheese and served with sweet and sour sauce.
021,Cream Cheese Rangoon, cream cheese ,appetizer,Wonton wrappers filled with cream cheese and served with sweet and sour sauce.
022,Drink, ,drink,Your choice of fountain drink.
